"origen","destino","tipo_via","distancia_km","tiempo_min","nivel_trafico","trafico","capacidad","velocidad_max","prioridad_via","bidireccional"
"San Borja_1305","San Isidro_1181","avenida","8","22","3","trafico alto","500","50","media","no"
"Rimac_731","San Isidro_669","calle","2","9","3","trafico alto","250","40","baja","no"
"San Miguel_1216","San Isidro_214","calle","3","6","4","trafico extremo","100","30","alta","no"
"Ate_1268","La Molina_742","calle","3","6","2","trafico moderado","100","30","alta","no"
"San Isidro_739","Rimac_690","autopista","9","45","1","trafico libre","100","100","alta","si"
"San Miguel_686","Callao_1090","calle","4","13","2","trafico moderado","250","30","media","no"
"Chorrillos_1495","Villa El Salvador_428","calle","3","14","4","trafico extremo","150","30","baja","si"
"La Molina_1228","Ate_1173","autopista","9","27","1","trafico libre","40","80","media","no"
"Ate_1029","La Molina_707","avenida","9","34","3","trafico alto","100","60","baja","no"
"Callao_1454","San Miguel_871","avenida","10","23","3","trafico alto","150","60","alta","si"
"Villa El Salvador_139","Surco_1135","autopista","9","39","2","trafico moderado","60","80","media","si"
"San Isidro_896","Miraflores_1055","avenida","10","37","1","trafico libre","40","60","baja","si"
"San Miguel_1198","Callao_10","avenida","9","35","2","trafico moderado","500","50","media","no"
"San Isidro_363","San Borja_173","avenida","10","48","3","trafico alto","150","50","media","no"
"Miraflores_988","Barranco_665","autopista","14","67","2","trafico moderado","60","100","media","no"
"Callao_687","San Miguel_332","autopista","11","49","1","trafico libre","40","80","media","si"
"Chorrillos_612","Barranco_1498","avenida","5","21","2","trafico moderado","60","60","media","no"
"San Isidro_1077","Miraflores_616","autopista","10","39","1","trafico libre","500","80","media","no"
"Surco_251","San Borja_1277","autopista","8","38","1","trafico libre","40","80","alta","si"
"Surco_218","La Molina_392","avenida","5","15","2","trafico moderado","250","50","media","no"
"Ate_592","San Juan de Lurigancho_544","avenida","10","47","1","trafico libre","60","50","baja","si"
"San Borja_1350","San Isidro_335","autopista","13","40","2","trafico moderado","40","80","alta","no"
"Chorrillos_1233","Barranco_1152","calle","2","9","3","trafico alto","100","30","baja","no"
"San Borja_1232","La Molina_427","autopista","11","45","1","trafico libre","500","100","media","no"
"Villa El Salvador_1298","Surco_1485","autopista","12","44","1","trafico libre","500","100","media","no"
"Miraflores_827","Surco_794","avenida","8","19","2","trafico moderado","60","60","baja","si"
"San Borja_1087","Surco_698","calle","3","13","2","trafico moderado","150","40","baja","no"
"Surco_800","San Borja_1189","avenida","4","10","3","trafico alto","250","50","baja","no"
"Villa El Salvador_1023","Chorrillos_333","autopista","14","67","2","trafico moderado","40","100","baja","si"
"Barranco_1303","Chorrillos_904","calle","1","5","4","trafico extremo","250","30","alta","no"
"Ate_1008","San Juan de Lurigancho_884","calle","3","11","2","trafico moderado","250","30","alta","si"
"Barranco_1403","Miraflores_1179","avenida","8","32","2","trafico moderado","40","50","baja","no"
"San Miguel_702","Callao_122","avenida","10","36","2","trafico moderado","60","50","alta","si"
"Comas_1480","Rimac_1304","autopista","12","49","1","trafico libre","250","100","media","si"
"Miraflores_974","Barranco_863","autopista","11","51","1","trafico libre","250","100","baja","si"
"Los Olivos_48","Comas_123","avenida","9","19","3","trafico alto","250","60","alta","si"
"Villa El Salvador_1356","Surco_165","calle","5","15","4","trafico extremo","60","40","alta","no"
"Surco_517","La Molina_427","calle","3","8","2","trafico moderado","60","30","baja","no"
"San Miguel_370","Callao_672","calle","1","4","3","trafico alto","100","40","alta","no"
"San Isidro_1077","San Borja_1087","autopista","13","64","1","trafico libre","250","100","media","si"
"Barranco_552","Miraflores_1249","calle","4","18","2","trafico moderado","40","40","media","si"
"San Miguel_1216","Callao_208","avenida","7","21","1","trafico libre","60","60","media","no"
"Callao_820","Los Olivos_441","avenida","3","12","1","trafico libre","60","50","baja","no"
"Rimac_1483","San Isidro_865","avenida","6","26","3","trafico alto","40","60","alta","si"
"San Juan de Lurigancho_624","Rimac_1304","calle","2","6","4","trafico extremo","500","30","baja","no"
"Comas_460","Los Olivos_353","avenida","8","20","1","trafico libre","150","60","baja","no"
"San Juan de Lurigancho_1046","Ate_1029","avenida","3","15","1","trafico libre","250","60","media","no"
"Los Olivos_38","Comas_1154","calle","1","4","2","trafico moderado","40","30","media","no"
"Surco_1397","La Molina_392","avenida","7","18","3","trafico alto","60","60","baja","no"
"Los Olivos_109","Comas_1067","calle","5","22","4","trafico extremo","500","40","media","no"
"San Juan de Lurigancho_148","Rimac_462","avenida","5","22","3","trafico alto","60","50","baja","no"
"San Isidro_363","San Borja_381","calle","1","5","2","trafico moderado","100","40","media","no"
"Surco_1427","Barranco_876","calle","4","19","2","trafico moderado","250","30","alta","si"
"Los Olivos_4","Comas_1402","avenida","6","24","3","trafico alto","100","50","baja","no"
"Comas_872","Los Olivos_1168","calle","4","17","3","trafico alto","500","30","baja","no"
"Comas_323","Los Olivos_1130","avenida","10","44","1","trafico libre","150","50","baja","si"
"Chorrillos_484","Villa El Salvador_1117","autopista","14","37","1","trafico libre","250","80","media","no"
"San Juan de Lurigancho_845","Rimac_495","calle","1","4","4","trafico extremo","100","40","media","no"
"San Isidro_1081","Miraflores_634","calle","4","11","2","trafico moderado","500","40","alta","no"
"Los Olivos_4","Comas_276","avenida","7","35","2","trafico moderado","250","50","media","si"
"Villa El Salvador_416","Chorrillos_1329","calle","2","10","3","trafico alto","250","30","baja","si"
"La Molina_398","Ate_348","calle","1","2","4","trafico extremo","40","30","baja","si"
"Comas_67","Los Olivos_834","avenida","5","16","1","trafico libre","40","60","media","no"
"Surco_43","Barranco_492","calle","1","5","3","trafico alto","40","40","alta","no"
"La Molina_1131","Ate_994","calle","1","5","3","trafico alto","500","40","baja","si"
"Ate_475","La Molina_705","autopista","10","36","1","trafico libre","40","80","baja","no"
"Ate_145","La Molina_8","calle","5","11","2","trafico moderado","60","30","media","si"
"San Isidro_352","Rimac_326","avenida","3","6","3","trafico alto","150","60","baja","si"
"Barranco_303","Surco_728","autopista","11","49","2","trafico moderado","500","100","baja","si"
"Ate_1306","San Juan de Lurigancho_1273","autopista","13","35","2","trafico moderado","250","80","baja","no"
"San Isidro_964","Miraflores_868","avenida","10","24","2","trafico moderado","500","50","alta","si"
"San Borja_906","San Isidro_1120","autopista","10","26","2","trafico moderado","500","80","media","si"
"Los Olivos_873","Comas_1048","autopista","9","36","1","trafico libre","60","80","baja","no"
"Los Olivos_657","Comas_1490","autopista","14","44","2","trafico moderado","60","100","baja","si"
"San Juan de Lurigancho_385","Ate_1119","calle","4","9","4","trafico extremo","150","30","alta","no"
"Comas_1353","Los Olivos_395","calle","4","19","3","trafico alto","60","30","baja","si"
"La Molina_117","Surco_254","autopista","10","47","2","trafico moderado","250","80","baja","no"
"Surco_658","La Molina_277","avenida","3","7","2","trafico moderado","60","60","baja","si"
"San Isidro_909","San Borja_173","calle","4","15","2","trafico moderado","60","30","baja","no"
"San Juan de Lurigancho_624","Ate_304","autopista","12","38","1","trafico libre","250","100","alta","si"
"San Juan de Lurigancho_919","Ate_1420","avenida","3","8","3","trafico alto","150","60","alta","no"
"Los Olivos_397","Callao_672","avenida","10","22","3","trafico alto","150","50","alta","no"
"Comas_1","Los Olivos_1202","avenida","3","15","2","trafico moderado","40","60","media","si"
"San Miguel_1205","Callao_509","autopista","15","61","2","trafico moderado","500","80","media","no"
"Villa El Salvador_1453","Surco_1463","autopista","9","37","1","trafico libre","500","100","baja","si"
"Callao_985","San Miguel_419","avenida","5","14","1","trafico libre","60","50","alta","si"
"Los Olivos_780","Comas_878","avenida","4","19","3","trafico alto","500","50","media","si"
"San Isidro_577","Rimac_191","calle","4","9","2","trafico moderado","500","30","alta","si"
"Barranco_1171","Miraflores_316","autopista","12","26","2","trafico moderado","100","100","media","no"
"Villa El Salvador_299","Surco_1461","calle","3","11","4","trafico extremo","150","40","media","no"
"San Miguel_758","San Isidro_1469","autopista","12","52","2","trafico moderado","250","100","alta","no"
"Comas_305","Rimac_969","calle","3","15","2","trafico moderado","40","30","baja","si"
"Comas_1032","Rimac_949","calle","3","9","4","trafico extremo","250","40","baja","si"
"San Miguel_1443","San Isidro_583","autopista","10","28","2","trafico moderado","100","100","baja","no"
"Villa El Salvador_642","Chorrillos_1313","calle","1","2","2","trafico moderado","60","30","media","no"
"La Molina_440","Surco_197","autopista","14","49","2","trafico moderado","40","80","alta","no"
"Ate_992","San Juan de Lurigancho_1273","calle","1","5","2","trafico moderado","150","40","alta","si"
"Callao_467","San Miguel_983","autopista","11","53","2","trafico moderado","500","80","media","no"
"San Miguel_1086","Callao_1012","calle","5","16","4","trafico extremo","40","30","alta","si"
"Ate_857","San Juan de Lurigancho_1273","autopista","10","41","1","trafico libre","40","80","media","si"
"Villa El Salvador_421","Surco_1485","avenida","10","36","1","trafico libre","60","50","baja","no"
"San Isidro_862","Miraflores_995","autopista","12","44","1","trafico libre","40","80","alta","si"
"Barranco_1380","Surco_674","autopista","15","62","1","trafico libre","40","100","baja","no"
"Chorrillos_904","Villa El Salvador_261","calle","1","2","4","trafico extremo","150","30","baja","si"
"Villa El Salvador_1298","Chorrillos_784","autopista","9","24","2","trafico moderado","250","100","baja","no"
"Chorrillos_1194","Barranco_303","calle","2","6","3","trafico alto","150","30","media","si"
"Comas_212","Los Olivos_834","autopista","14","34","2","trafico moderado","150","100","media","si"
"Comas_1095","Los Olivos_1296","calle","3","12","3","trafico alto","100","40","media","no"
"Callao_182","San Miguel_976","avenida","5","24","2","trafico moderado","500","60","baja","no"
"Ate_718","La Molina_234","avenida","7","34","3","trafico alto","500","50","media","si"
"Los Olivos_69","Callao_174","avenida","7","17","1","trafico libre","500","60","media","si"
"Ate_390","San Juan de Lurigancho_27","autopista","10","47","1","trafico libre","40","100","media","si"
"San Juan de Lurigancho_192","Rimac_1422","autopista","14","58","1","trafico libre","100","80","baja","no"
"Comas_1032","Rimac_1244","avenida","4","17","3","trafico alto","40","50","alta","no"
"San Juan de Lurigancho_1288","Ate_1093","avenida","9","43","1","trafico libre","500","50","media","no"
"San Miguel_1369","San Isidro_739","avenida","5","15","2","trafico moderado","150","60","alta","si"
"Villa El Salvador_1256","Surco_591","avenida","8","18","2","trafico moderado","100","50","media","si"
"Miraflores_1488","San Isidro_1469","avenida","4","14","3","trafico alto","500","50","media","si"
"Chorrillos_1085","Barranco_72","calle","2","7","3","trafico alto","60","30","media","no"
"Ate_1119","La Molina_1180","autopista","12","32","2","trafico moderado","150","80","alta","no"
"Chorrillos_317","Villa El Salvador_415","calle","2","8","3","trafico alto","40","30","alta","no"
"Ate_1199","La Molina_277","avenida","9","20","3","trafico alto","40","50","alta","no"
"Callao_1042","Los Olivos_604","autopista","14","42","1","trafico libre","150","80","alta","no"
"Ate_1269","La Molina_1045","avenida","10","38","2","trafico moderado","40","60","baja","si"
"San Borja_1305","Surco_591","avenida","4","9","1","trafico libre","100","60","alta","si"
"Villa El Salvador_643","Surco_1183","autopista","8","33","2","trafico moderado","100","80","alta","si"
"San Isidro_39","Rimac_1153","avenida","3","13","3","trafico alto","100","50","media","no"
"Rimac_1304","San Isidro_340","avenida","4","9","2","trafico moderado","500","60","alta","si"
"Barranco_1494","Surco_264","avenida","4","11","3","trafico alto","150","60","media","si"
"Callao_169","Los Olivos_61","avenida","10","48","1","trafico libre","500","50","media","no"
"San Isidro_887","San Borja_464","autopista","10","50","1","trafico libre","60","100","baja","no"
"Callao_967","Los Olivos_975","calle","2","9","3","trafico alto","100","40","baja","no"
"Comas_1266","Rimac_326","avenida","10","43","2","trafico moderado","250","50","alta","no"
"Ate_628","La Molina_733","avenida","6","12","1","trafico libre","60","50","alta","si"
"Chorrillos_831","Barranco_903","avenida","5","21","1","trafico libre","60","60","alta","si"
"San Juan de Lurigancho_1186","Ate_994","calle","5","16","3","trafico alto","60","30","alta","no"
"Barranco_1013","Chorrillos_1459","avenida","8","32","3","trafico alto","250","50","media","si"
"San Miguel_537","San Isidro_287","calle","5","12","2","trafico moderado","500","30","media","no"
"San Borja_423","Surco_658","autopista","8","37","2","trafico moderado","100","80","alta","si"
"La Molina_705","Ate_938","calle","3","14","3","trafico alto","60","40","media","no"
"Barranco_945","Chorrillos_229","autopista","12","45","2","trafico moderado","150","80","media","si"
"Surco_877","San Borja_454","calle","3","9","2","trafico moderado","40","40","baja","no"
"Miraflores_176","Barranco_54","avenida","4","11","2","trafico moderado","40","50","alta","no"
"Surco_163","San Borja_582","avenida","7","16","2","trafico moderado","100","60","media","si"
"San Juan de Lurigancho_473","Rimac_621","calle","5","12","2","trafico moderado","150","40","baja","si"
"Barranco_1243","Chorrillos_1334","autopista","11","52","2","trafico moderado","150","100","media","si"
"Los Olivos_668","Comas_1295","calle","1","2","4","trafico extremo","100","40","alta","no"
"Comas_948","Los Olivos_668","avenida","3","6","2","trafico moderado","60","60","alta","no"
"San Isidro_1079","Rimac_850","autopista","13","56","2","trafico moderado","100","80","alta","no"
"San Miguel_36","Callao_273","avenida","6","26","3","trafico alto","500","60","alta","si"
"Ate_772","La Molina_915","avenida","6","16","3","trafico alto","60","50","media","si"
"Comas_1370","Los Olivos_1496","calle","3","8","4","trafico extremo","150","40","baja","si"
"San Juan de Lurigancho_1265","Rimac_184","avenida","7","22","3","trafico alto","60","60","media","no"
"Miraflores_252","Surco_150","avenida","7","28","3","trafico alto","150","60","baja","si"
"Surco_1363","San Borja_1051","autopista","10","21","2","trafico moderado","500","100","alta","no"
"Callao_701","Los Olivos_69","autopista","9","44","2","trafico moderado","500","100","alta","si"
"Surco_1103","Barranco_15","autopista","13","56","1","trafico libre","40","80","baja","si"
"Miraflores_1069","San Isidro_785","autopista","11","32","2","trafico moderado","500","80","baja","si"
"Rimac_599","Comas_1067","calle","1","5","4","trafico extremo","250","40","baja","no"
"Ate_1416","San Juan de Lurigancho_34","avenida","5","10","2","trafico moderado","100","60","media","no"
"San Borja_153","Surco_310","autopista","11","41","2","trafico moderado","40","100","baja","no"
"Callao_1432","Los Olivos_532","calle","4","20","4","trafico extremo","100","30","baja","no"
"Miraflores_1262","Barranco_1303","calle","3","7","2","trafico moderado","500","30","baja","no"
"San Miguel_1323","San Isidro_1220","autopista","11","39","2","trafico moderado","60","80","media","no"
"Chorrillos_484","Villa El Salvador_524","avenida","5","15","1","trafico libre","250","60","media","si"
"Rimac_134","Comas_323","avenida","8","31","1","trafico libre","500","60","alta","no"
"Chorrillos_286","Barranco_1084","calle","3","15","4","trafico extremo","500","30","alta","si"
"Miraflores_1465","San Isidro_231","avenida","6","19","2","trafico moderado","40","60","media","si"
"Comas_1395","Los Olivos_99","avenida","7","15","3","trafico alto","60","60","alta","si"
"La Molina_1228","Ate_592","calle","3","8","2","trafico moderado","500","40","media","no"
"San Miguel_1133","Callao_978","calle","1","5","2","trafico moderado","60","30","baja","no"
"San Isidro_602","Rimac_260","avenida","4","10","2","trafico moderado","150","60","baja","no"
"Callao_1454","San Miguel_12","avenida","10","41","3","trafico alto","60","50","media","no"
"Barranco_665","Chorrillos_1258","calle","5","23","2","trafico moderado","40","40","alta","no"
"Miraflores_653","Surco_463","calle","5","10","3","trafico alto","150","40","alta","no"
"Los Olivos_4","Comas_1203","autopista","9","30","1","trafico libre","100","100","media","no"
"Barranco_966","Miraflores_250","avenida","6","21","1","trafico libre","100","60","media","si"
"Villa El Salvador_908","Chorrillos_456","avenida","9","31","2","trafico moderado","40","60","alta","no"
"San Juan de Lurigancho_1265","Ate_141","autopista","12","56","1","trafico libre","40","80","media","no"
"San Juan de Lurigancho_282","Ate_97","calle","2","10","4","trafico extremo","500","30","alta","si"
"Los Olivos_1330","Callao_985","autopista","8","39","1","trafico libre","100","80","alta","no"
"Miraflores_812","Barranco_1365","avenida","8","38","3","trafico alto","40","60","media","si"
"Barranco_303","Chorrillos_558","calle","1","5","4","trafico extremo","100","40","alta","no"
"San Borja_454","Surco_163","calle","5","22","4","trafico extremo","100","40","alta","no"
"Barranco_622","Chorrillos_784","avenida","3","11","1","trafico libre","500","60","baja","no"
"Chorrillos_1313","Barranco_512","avenida","7","24","1","trafico libre","250","50","media","si"
"Chorrillos_206","Villa El Salvador_1476","avenida","6","12","1","trafico libre","100","50","media","no"
"Villa El Salvador_487","Surco_130","avenida","3","11","1","trafico libre","150","50","alta","si"
"Comas_881","Rimac_1326","avenida","8","22","1","trafico libre","100","60","baja","no"
"San Miguel_1133","Callao_1185","calle","5","13","2","trafico moderado","150","30","media","no"
"Surco_1397","Barranco_665","avenida","3","7","2","trafico moderado","250","50","alta","no"
"Chorrillos_801","Villa El Salvador_491","autopista","12","30","2","trafico moderado","100","100","baja","si"
"Villa El Salvador_55","Chorrillos_151","avenida","10","42","3","trafico alto","250","60","media","si"
"Rimac_191","San Isidro_1140","avenida","8","19","2","trafico moderado","150","60","baja","no"
"Callao_174","San Miguel_1384","autopista","11","31","2","trafico moderado","500","100","alta","si"
"Surco_1458","La Molina_1280","calle","3","15","4","trafico extremo","500","30","baja","no"
"Villa El Salvador_565","Surco_625","calle","2","7","4","trafico extremo","150","30","media","si"
"Villa El Salvador_1298","Surco_591","autopista","12","41","1","trafico libre","150","100","alta","si"
"San Juan de Lurigancho_101","Rimac_1200","autopista","13","39","1","trafico libre","100","100","alta","si"
"Comas_79","Rimac_1373","autopista","9","18","2","trafico moderado","60","100","media","si"
"Los Olivos_1447","Callao_967","calle","2","9","4","trafico extremo","40","30","media","si"
"Chorrillos_18","Barranco_159","autopista","14","59","2","trafico moderado","40","80","media","no"
"La Molina_1045","San Borja_1260","autopista","11","23","1","trafico libre","100","80","baja","no"
"Rimac_1411","Comas_1067","autopista","15","52","2","trafico moderado","250","80","alta","si"
"Villa El Salvador_889","Chorrillos_1233","avenida","9","39","1","trafico libre","500","50","media","no"
"Callao_1339","San Miguel_789","avenida","6","27","3","trafico alto","60","50","media","no"
"Barranco_1433","Surco_1463","calle","4","18","2","trafico moderado","40","30","media","no"
"Villa El Salvador_1001","Surco_119","avenida","9","42","2","trafico moderado","150","60","media","no"
"Villa El Salvador_320","Surco_478","avenida","6","23","2","trafico moderado","40","60","media","si"
"Chorrillos_558","Villa El Salvador_275","avenida","9","38","1","trafico libre","150","60","media","no"
"Barranco_876","Surco_1049","autopista","10","33","1","trafico libre","500","80","alta","si"
"Villa El Salvador_1315","Surco_201","calle","4","8","4","trafico extremo","150","30","baja","si"
"Surco_1103","Barranco_506","autopista","15","60","1","trafico libre","100","100","alta","no"
"Comas_561","Los Olivos_501","calle","4","9","4","trafico extremo","500","30","alta","si"
"Ate_1076","La Molina_1182","calle","4","14","2","trafico moderado","100","40","baja","no"
"Barranco_196","Chorrillos_1218","autopista","11","51","2","trafico moderado","100","80","media","no"
"Surco_712","Barranco_496","avenida","6","19","3","trafico alto","100","60","baja","si"
"San Juan de Lurigancho_615","Ate_145","avenida","4","10","3","trafico alto","100","50","media","no"
"Los Olivos_516","Comas_212","autopista","8","37","1","trafico libre","150","100","media","no"
"La Molina_676","Surco_591","calle","1","3","2","trafico moderado","40","40","baja","si"
"Surco_1183","La Molina_898","calle","1","5","2","trafico moderado","100","30","baja","si"
"San Isidro_666","Rimac_578","calle","4","14","3","trafico alto","100","30","media","si"
"Ate_888","La Molina_1280","calle","4","18","3","trafico alto","40","30","baja","no"
"San Miguel_1289","San Isidro_513","autopista","13","46","2","trafico moderado","40","80","baja","no"
"San Miguel_593","San Isidro_602","autopista","13","63","2","trafico moderado","100","100","alta","si"
"Miraflores_997","Surco_1331","calle","2","4","4","trafico extremo","40","30","media","no"
"Callao_483","Los Olivos_1105","calle","4","20","3","trafico alto","40","40","media","si"
"Surco_1475","La Molina_427","autopista","9","35","2","trafico moderado","40","100","alta","si"
"Barranco_1107","Chorrillos_816","autopista","8","33","1","trafico libre","60","100","baja","si"
"Rimac_1373","San Isidro_1063","calle","5","25","4","trafico extremo","100","40","alta","no"
"San Juan de Lurigancho_845","Ate_13","calle","5","24","4","trafico extremo","40","40","media","si"
"San Juan de Lurigancho_1201","Rimac_359","autopista","11","53","2","trafico moderado","250","80","alta","si"
"Chorrillos_1442","Barranco_371","autopista","13","38","1","trafico libre","250","100","media","si"
"Rimac_949","San Isidro_1252","calle","5","18","2","trafico moderado","100","40","alta","no"
"Villa El Salvador_1298","Chorrillos_952","autopista","11","55","1","trafico libre","250","100","media","no"
"Ate_11","San Juan de Lurigancho_339","autopista","8","21","2","trafico moderado","150","100","media","si"
"Ate_476","San Juan de Lurigancho_414","calle","5","15","3","trafico alto","500","30","media","no"
"San Juan de Lurigancho_845","Ate_741","calle","5","14","4","trafico extremo","40","40","media","si"
"San Miguel_1204","Callao_967","calle","4","15","3","trafico alto","250","40","media","no"
"Miraflores_65","San Isidro_1471","autopista","13","35","2","trafico moderado","250","100","alta","si"
"Los Olivos_4","Callao_618","autopista","15","70","2","trafico moderado","500","100","baja","no"
"San Miguel_1212","Callao_968","calle","2","9","3","trafico alto","250","30","baja","no"
"San Miguel_431","Callao_41","autopista","8","27","1","trafico libre","150","100","alta","no"
"Surco_800","La Molina_412","autopista","8","38","2","trafico moderado","500","80","baja","no"
"San Isidro_652","Rimac_1040","avenida","5","16","2","trafico moderado","40","50","alta","si"
"Villa El Salvador_92","Chorrillos_924","calle","4","16","2","trafico moderado","100","40","alta","si"
"Callao_1450","Los Olivos_885","autopista","8","17","1","trafico libre","40","100","alta","si"
"San Juan de Lurigancho_282","Ate_1221","calle","1","2","3","trafico alto","250","30","baja","si"
"Los Olivos_48","Callao_925","autopista","15","47","1","trafico libre","500","80","baja","no"
"Rimac_462","San Isidro_426","calle","5","10","4","trafico extremo","250","40","baja","si"
"Barranco_678","Miraflores_616","autopista","14","52","1","trafico libre","40","80","media","si"
"San Borja_1054","San Isidro_862","avenida","10","30","3","trafico alto","500","60","alta","no"
"Ate_13","San Juan de Lurigancho_515","autopista","15","66","2","trafico moderado","40","80","baja","no"
"Callao_1450","Los Olivos_1406","calle","1","2","2","trafico moderado","150","40","alta","no"
"Miraflores_1355","Surco_463","autopista","11","41","2","trafico moderado","150","80","media","no"
"San Miguel_557","San Isidro_680","calle","5","11","3","trafico alto","150","30","baja","no"
"Chorrillos_1099","Villa El Salvador_565","calle","1","5","3","trafico alto","150","40","alta","no"
"Ate_382","La Molina_676","avenida","10","42","3","trafico alto","500","60","media","no"
"Comas_611","Los Olivos_773","avenida","4","17","2","trafico moderado","100","60","baja","no"
"La Molina_223","Ate_628","avenida","10","29","1","trafico libre","100","50","media","si"
"San Borja_627","San Isidro_887","calle","4","11","3","trafico alto","60","40","media","no"
"Ate_455","San Juan de Lurigancho_1426","calle","2","5","2","trafico moderado","250","40","alta","si"
"Los Olivos_1142","Callao_156","avenida","3","13","1","trafico libre","40","50","baja","si"
"Barranco_1083","Surco_76","calle","5","13","4","trafico extremo","500","40","baja","si"
"Ate_649","La Molina_742","calle","5","14","4","trafico extremo","150","30","alta","si"
"Callao_618","San Miguel_841","avenida","6","26","2","trafico moderado","250","50","alta","no"
"Villa El Salvador_293","Surco_1354","avenida","6","24","2","trafico moderado","60","50","baja","no"
"Villa El Salvador_792","Chorrillos_151","calle","4","20","4","trafico extremo","60","30","media","si"
"Miraflores_250","Surco_1437","calle","2","7","2","trafico moderado","100","30","media","no"
"San Borja_413","La Molina_684","autopista","12","35","2","trafico moderado","250","100","alta","si"
"San Miguel_781","San Isidro_1181","autopista","13","40","1","trafico libre","250","80","alta","no"
"Rimac_191","Comas_1170","autopista","15","72","1","trafico libre","250","100","media","no"
"Chorrillos_248","Villa El Salvador_294","autopista","15","34","2","trafico moderado","100","100","alta","no"
"Comas_1402","Los Olivos_753","autopista","13","61","2","trafico moderado","40","100","baja","no"
"Surco_858","La Molina_567","calle","4","15","3","trafico alto","60","30","media","no"
"Chorrillos_1050","Villa El Salvador_607","calle","2","8","3","trafico alto","500","40","alta","si"
"Rimac_1248","San Isidro_896","avenida","8","22","2","trafico moderado","40","50","media","no"
"San Juan de Lurigancho_329","Rimac_191","autopista","11","36","2","trafico moderado","150","100","media","no"
"Villa El Salvador_45","Chorrillos_1419","autopista","8","17","1","trafico libre","500","80","alta","no"
"San Juan de Lurigancho_1046","Ate_1076","avenida","9","33","3","trafico alto","60","60","baja","no"
"La Molina_1209","Ate_1029","autopista","10","42","1","trafico libre","60","80","baja","no"
"San Juan de Lurigancho_1124","Rimac_1015","avenida","9","41","2","trafico moderado","100","60","media","no"
"Ate_547","San Juan de Lurigancho_1466","calle","3","12","3","trafico alto","100","40","baja","si"
"Miraflores_170","Barranco_1279","calle","5","15","2","trafico moderado","60","40","baja","si"
"San Juan de Lurigancho_746","Ate_1307","autopista","10","28","1","trafico libre","250","80","media","no"
"Miraflores_225","Barranco_656","avenida","10","45","2","trafico moderado","60","50","baja","no"
"Los Olivos_604","Callao_522","autopista","15","60","2","trafico moderado","150","100","baja","no"
"Rimac_1276","San Isidro_290","autopista","8","30","2","trafico moderado","150","80","alta","si"
"Rimac_644","San Isidro_290","calle","5","12","2","trafico moderado","40","30","media","si"
"San Borja_1232","San Isidro_1121","avenida","7","19","3","trafico alto","150","60","alta","no"
"Surco_163","La Molina_427","calle","4","19","4","trafico extremo","500","40","alta","si"
"Ate_325","San Juan de Lurigancho_1002","calle","2","7","4","trafico extremo","60","30","media","si"
"Rimac_814","San Isidro_214","calle","4","19","2","trafico moderado","60","30","baja","si"
"San Juan de Lurigancho_632","Ate_403","calle","2","4","3","trafico alto","60","40","baja","si"
"La Molina_263","San Borja_1407","autopista","8","38","1","trafico libre","150","80","baja","si"
"Comas_212","Rimac_269","calle","4","8","2","trafico moderado","100","40","baja","si"
