"id_interseccion","nombre","distrito","zona","latitud","longitud","tipo_interseccion","semaforo"
"117","San Borja_117","San Borja","Lima Centro","-11.989109","-77.070671","interseccion principal","si"
"118","San Isidro_118","San Isidro","Lima Centro","-12.131643","-77.058953","rotonda","no"
"119","Villa El Salvador_119","Villa El Salvador","Lima Sur","-12.088127","-77.110303","rotonda","no"
"120","Rimac_120","Rimac","Lima Centro","-11.976622","-77.033103","interseccion principal","no"
"121","Barranco_121","Barranco","Lima Sur","-12.051707","-77.043996","cruce","no"
"122","Miraflores_122","Miraflores","Lima Sur","-11.855771","-77.149548","cruce","no"
"123","Ate_123","Ate","Lima Este","-12.040865","-77.148511","interseccion principal","si"
"124","Rimac_124","Rimac","Lima Centro","-12.055012","-77.066176","interseccion principal","no"
"125","Comas_125","Comas","Lima Norte","-11.915837","-76.894128","rotonda","no"
"126","Chorrillos_126","Chorrillos","Lima Sur","-12.192069","-77.038633","rotonda","si"
"127","San Miguel_127","San Miguel","Lima Oeste","-11.961205","-77.139897","rotonda","si"
"128","Callao_128","Callao","Lima Oeste","-11.949232","-76.939787","interseccion principal","si"
"129","San Juan de Lurigancho_129","San Juan de Lurigancho","Lima Este","-12.015194","-76.9091","cruce","si"
"130","Comas_130","Comas","Lima Norte","-12.151124","-76.917927","rotonda","si"
"131","La Molina_131","La Molina","Lima Este","-11.962044","-77.199055","interseccion principal","si"
"132","Comas_132","Comas","Lima Norte","-11.950878","-76.955043","rotonda","si"
"133","La Molina_133","La Molina","Lima Este","-12.214734","-76.973524","interseccion principal","no"
"134","Chorrillos_134","Chorrillos","Lima Sur","-11.965783","-77.150424","cruce","no"
"135","San Borja_135","San Borja","Lima Centro","-12.232755","-76.969662","rotonda","si"
"136","Miraflores_136","Miraflores","Lima Sur","-11.973527","-76.855205","rotonda","si"
"137","Chorrillos_137","Chorrillos","Lima Sur","-12.243922","-77.169138","cruce","no"
"138","San Borja_138","San Borja","Lima Centro","-12.156355","-77.168012","cruce","si"
"139","San Borja_139","San Borja","Lima Centro","-12.182523","-77.094466","rotonda","si"
"140","San Juan de Lurigancho_140","San Juan de Lurigancho","Lima Este","-12.247476","-77.172996","interseccion principal","no"
"141","San Miguel_141","San Miguel","Lima Oeste","-11.850443","-77.198213","interseccion principal","si"
"142","Villa El Salvador_142","Villa El Salvador","Lima Sur","-12.033481","-77.187564","cruce","no"
"143","San Miguel_143","San Miguel","Lima Oeste","-12.183922","-77.086595","cruce","no"
"144","San Borja_144","San Borja","Lima Centro","-12.005455","-77.19035","rotonda","si"
"145","Ate_145","Ate","Lima Este","-11.928421","-77.1","rotonda","si"
"146","Villa El Salvador_146","Villa El Salvador","Lima Sur","-12.16034","-76.972431","cruce","si"
"147","Barranco_147","Barranco","Lima Sur","-11.970292","-77.0827","rotonda","no"
"148","Barranco_148","Barranco","Lima Sur","-11.986252","-77.199312","rotonda","no"
"149","Chorrillos_149","Chorrillos","Lima Sur","-12.219126","-76.931815","cruce","si"
"150","Ate_150","Ate","Lima Este","-12.164608","-76.956567","interseccion principal","si"
"151","Barranco_151","Barranco","Lima Sur","-12.23659","-77.004016","interseccion principal","si"
"152","La Molina_152","La Molina","Lima Este","-12.026635","-77.124344","interseccion principal","no"
"153","Miraflores_153","Miraflores","Lima Sur","-12.085173","-77.036345","interseccion principal","si"
"154","San Miguel_154","San Miguel","Lima Oeste","-12.178685","-77.173707","rotonda","si"
"155","San Miguel_155","San Miguel","Lima Oeste","-11.984303","-77.074228","cruce","no"
"156","Barranco_156","Barranco","Lima Sur","-12.138986","-77.11496","interseccion principal","no"
"157","Miraflores_157","Miraflores","Lima Sur","-12.071296","-77.097219","interseccion principal","si"
"158","Chorrillos_158","Chorrillos","Lima Sur","-11.951911","-76.933796","rotonda","si"
"159","San Miguel_159","San Miguel","Lima Oeste","-12.034549","-77.053345","cruce","no"
"160","Callao_160","Callao","Lima Oeste","-11.858359","-77.012839","rotonda","si"
"161","Villa El Salvador_161","Villa El Salvador","Lima Sur","-12.135249","-77.061922","interseccion principal","no"
"162","Callao_162","Callao","Lima Oeste","-12.220309","-77.142491","cruce","no"
"163","La Molina_163","La Molina","Lima Este","-11.943713","-77.09628","cruce","no"
"164","San Juan de Lurigancho_164","San Juan de Lurigancho","Lima Este","-11.9338","-77.060851","cruce","no"
"165","Rimac_165","Rimac","Lima Centro","-12.198242","-76.917101","rotonda","si"
"166","Los Olivos_166","Los Olivos","Lima Norte","-11.857829","-77.05683","cruce","si"
"167","Callao_167","Callao","Lima Oeste","-11.989179","-76.856402","rotonda","no"
"168","La Molina_168","La Molina","Lima Este","-11.966227","-77.151984","cruce","no"
"169","Los Olivos_169","Los Olivos","Lima Norte","-11.941888","-77.094983","interseccion principal","si"
"170","Los Olivos_170","Los Olivos","Lima Norte","-12.203537","-76.877412","interseccion principal","no"
"171","San Borja_171","San Borja","Lima Centro","-12.016867","-77.145535","cruce","no"
"172","Los Olivos_172","Los Olivos","Lima Norte","-11.850024","-76.887545","rotonda","si"
"173","San Borja_173","San Borja","Lima Centro","-11.992136","-76.856955","rotonda","si"
"174","Comas_174","Comas","Lima Norte","-12.007159","-76.943293","cruce","no"
"175","San Juan de Lurigancho_175","San Juan de Lurigancho","Lima Este","-12.001775","-77.08195","interseccion principal","si"
"176","Chorrillos_176","Chorrillos","Lima Sur","-11.893176","-76.955183","cruce","si"
"177","Barranco_177","Barranco","Lima Sur","-12.229659","-77.017555","cruce","no"
"178","San Borja_178","San Borja","Lima Centro","-12.136201","-77.156976","cruce","si"
"179","San Isidro_179","San Isidro","Lima Centro","-11.928542","-77.165397","interseccion principal","si"
"180","La Molina_180","La Molina","Lima Este","-12.15082","-77.011191","cruce","no"
"181","Barranco_181","Barranco","Lima Sur","-12.142414","-77.131391","cruce","no"
"182","San Miguel_182","San Miguel","Lima Oeste","-12.195566","-77.095325","rotonda","no"
"183","Barranco_183","Barranco","Lima Sur","-12.21459","-77.140679","cruce","no"
"184","San Juan de Lurigancho_184","San Juan de Lurigancho","Lima Este","-12.231249","-77.118213","cruce","si"
"185","Miraflores_185","Miraflores","Lima Sur","-12.077573","-77.165522","interseccion principal","no"
"186","La Molina_186","La Molina","Lima Este","-11.96539","-76.988256","rotonda","no"
"187","San Miguel_187","San Miguel","Lima Oeste","-11.943369","-77.044573","interseccion principal","no"
"188","Los Olivos_188","Los Olivos","Lima Norte","-12.171015","-77.173003","cruce","no"
"189","Callao_189","Callao","Lima Oeste","-11.873898","-76.919107","rotonda","si"
"190","Chorrillos_190","Chorrillos","Lima Sur","-11.93572","-77.17335","cruce","si"
"191","La Molina_191","La Molina","Lima Este","-12.221415","-76.912589","interseccion principal","si"
"192","Callao_192","Callao","Lima Oeste","-12.137974","-77.011637","rotonda","si"
"193","Barranco_193","Barranco","Lima Sur","-12.174851","-77.095601","rotonda","si"
"194","Barranco_194","Barranco","Lima Sur","-12.149064","-76.914956","rotonda","si"
"195","San Borja_195","San Borja","Lima Centro","-12.100725","-76.906469","cruce","si"
"196","Surco_196","Surco","Lima Sur","-12.239161","-76.892541","rotonda","no"
"197","Comas_197","Comas","Lima Norte","-12.137051","-76.967404","cruce","si"
"198","Chorrillos_198","Chorrillos","Lima Sur","-12.094953","-76.966209","cruce","no"
"199","Callao_199","Callao","Lima Oeste","-11.860989","-77.159199","cruce","no"
"200","Los Olivos_200","Los Olivos","Lima Norte","-12.141967","-76.887027","interseccion principal","si"
"201","Miraflores_201","Miraflores","Lima Sur","-12.043289","-77.018271","interseccion principal","si"
"202","Rimac_202","Rimac","Lima Centro","-11.958028","-76.9624","cruce","no"
"203","Rimac_203","Rimac","Lima Centro","-12.096233","-77.029694","rotonda","si"
"204","Callao_204","Callao","Lima Oeste","-11.970411","-76.989359","rotonda","si"
"205","San Juan de Lurigancho_205","San Juan de Lurigancho","Lima Este","-11.860405","-76.97077","cruce","no"
"206","Los Olivos_206","Los Olivos","Lima Norte","-12.100587","-77.065531","cruce","no"
"207","La Molina_207","La Molina","Lima Este","-12.085196","-77.085964","interseccion principal","no"
"208","San Borja_208","San Borja","Lima Centro","-11.96929","-76.98467","rotonda","si"
"209","San Isidro_209","San Isidro","Lima Centro","-11.995059","-77.070669","cruce","no"
"210","Rimac_210","Rimac","Lima Centro","-12.225926","-76.937929","rotonda","si"
"211","San Isidro_211","San Isidro","Lima Centro","-12.23046","-77.062517","cruce","si"
"212","San Isidro_212","San Isidro","Lima Centro","-12.169652","-76.950058","cruce","si"
"213","Los Olivos_213","Los Olivos","Lima Norte","-12.045704","-76.923654","rotonda","si"
"214","San Juan de Lurigancho_214","San Juan de Lurigancho","Lima Este","-12.005657","-77.050543","rotonda","si"
"215","Chorrillos_215","Chorrillos","Lima Sur","-12.135995","-77.122639","rotonda","si"
"216","San Juan de Lurigancho_216","San Juan de Lurigancho","Lima Este","-12.243403","-77.116878","interseccion principal","si"
"217","Barranco_217","Barranco","Lima Sur","-11.961533","-77.109246","rotonda","si"
"218","Barranco_218","Barranco","Lima Sur","-11.883116","-77.050228","rotonda","no"
"219","San Juan de Lurigancho_219","San Juan de Lurigancho","Lima Este","-12.104515","-77.152684","cruce","no"
"220","Callao_220","Callao","Lima Oeste","-11.907812","-76.961278","rotonda","si"
"221","Comas_221","Comas","Lima Norte","-12.212526","-77.097744","rotonda","si"
"222","Callao_222","Callao","Lima Oeste","-11.876584","-77.170031","rotonda","si"
"223","La Molina_223","La Molina","Lima Este","-12.032086","-76.953767","interseccion principal","no"
"224","Los Olivos_224","Los Olivos","Lima Norte","-12.024023","-77.115379","interseccion principal","no"
"225","Chorrillos_225","Chorrillos","Lima Sur","-12.13627","-77.065812","interseccion principal","si"
"226","San Isidro_226","San Isidro","Lima Centro","-11.863778","-76.970529","rotonda","si"
"227","Miraflores_227","Miraflores","Lima Sur","-12.178686","-76.99453","rotonda","no"
"228","San Borja_228","San Borja","Lima Centro","-12.100291","-76.991529","rotonda","si"
"229","Villa El Salvador_229","Villa El Salvador","Lima Sur","-12.083007","-77.18659","cruce","si"
"230","Los Olivos_230","Los Olivos","Lima Norte","-11.885385","-77.122816","cruce","si"
"231","Miraflores_231","Miraflores","Lima Sur","-12.054201","-76.922691","rotonda","si"
"232","Miraflores_232","Miraflores","Lima Sur","-12.230208","-76.959937","interseccion principal","no"
"233","Callao_233","Callao","Lima Oeste","-12.114401","-76.867781","cruce","no"
"234","Miraflores_234","Miraflores","Lima Sur","-12.053512","-76.992692","cruce","no"
"235","Callao_235","Callao","Lima Oeste","-11.959365","-77.167339","cruce","si"
"236","Ate_236","Ate","Lima Este","-11.952513","-77.071897","rotonda","no"
"237","Surco_237","Surco","Lima Sur","-12.214603","-77.089641","rotonda","no"
"238","Rimac_238","Rimac","Lima Centro","-12.087461","-77.016288","cruce","no"
"239","Barranco_239","Barranco","Lima Sur","-11.929021","-77.189479","interseccion principal","si"
"240","Barranco_240","Barranco","Lima Sur","-11.959127","-77.159758","interseccion principal","no"
"241","Ate_241","Ate","Lima Este","-11.993617","-76.986444","interseccion principal","si"
"242","Surco_242","Surco","Lima Sur","-12.111261","-77.114344","rotonda","si"
"243","La Molina_243","La Molina","Lima Este","-12.177058","-77.014299","cruce","no"
"244","San Borja_244","San Borja","Lima Centro","-12.127427","-77.08497","cruce","si"
"245","San Juan de Lurigancho_245","San Juan de Lurigancho","Lima Este","-12.005583","-77.19776","interseccion principal","no"
"246","Barranco_246","Barranco","Lima Sur","-11.910356","-77.098855","rotonda","no"
"247","La Molina_247","La Molina","Lima Este","-12.090174","-77.015276","cruce","si"
"248","Barranco_248","Barranco","Lima Sur","-11.993761","-77.026904","interseccion principal","no"
"249","San Isidro_249","San Isidro","Lima Centro","-12.010873","-76.926836","rotonda","si"
"250","San Borja_250","San Borja","Lima Centro","-11.940359","-77.017683","cruce","si"
"251","Los Olivos_251","Los Olivos","Lima Norte","-11.978135","-77.169092","cruce","no"
"252","San Juan de Lurigancho_252","San Juan de Lurigancho","Lima Este","-12.152484","-77.153423","rotonda","si"
"253","San Miguel_253","San Miguel","Lima Oeste","-12.130107","-76.971835","cruce","no"
"254","Villa El Salvador_254","Villa El Salvador","Lima Sur","-12.122984","-76.980344","interseccion principal","si"
"255","Los Olivos_255","Los Olivos","Lima Norte","-12.239115","-76.864969","rotonda","si"
"256","Rimac_256","Rimac","Lima Centro","-11.864357","-77.140212","cruce","si"
"257","Villa El Salvador_257","Villa El Salvador","Lima Sur","-11.971512","-76.973115","interseccion principal","si"
"258","Rimac_258","Rimac","Lima Centro","-12.223013","-77.19094","rotonda","si"
"259","La Molina_259","La Molina","Lima Este","-12.153556","-76.991668","rotonda","si"
"260","Rimac_260","Rimac","Lima Centro","-11.88503","-77.065127","rotonda","si"
"261","Villa El Salvador_261","Villa El Salvador","Lima Sur","-12.209061","-76.916613","cruce","si"
"262","La Molina_262","La Molina","Lima Este","-12.13808","-77.047964","rotonda","si"
"263","Chorrillos_263","Chorrillos","Lima Sur","-12.233577","-76.904887","interseccion principal","si"
"264","La Molina_264","La Molina","Lima Este","-11.85965","-76.930502","interseccion principal","si"
"265","San Borja_265","San Borja","Lima Centro","-12.24755","-77.099355","rotonda","si"
"266","Surco_266","Surco","Lima Sur","-11.92406","-76.998977","cruce","no"
"267","San Miguel_267","San Miguel","Lima Oeste","-12.241277","-77.04249","rotonda","si"
"268","Miraflores_268","Miraflores","Lima Sur","-12.060438","-77.167645","cruce","no"
"269","Villa El Salvador_269","Villa El Salvador","Lima Sur","-11.974334","-76.912776","cruce","no"
"270","Ate_270","Ate","Lima Este","-11.905776","-76.972106","rotonda","no"
"271","Callao_271","Callao","Lima Oeste","-12.074973","-77.082752","cruce","no"
"272","Comas_272","Comas","Lima Norte","-11.960836","-76.870285","cruce","si"
"273","Chorrillos_273","Chorrillos","Lima Sur","-12.033457","-77.151845","interseccion principal","no"
"274","San Borja_274","San Borja","Lima Centro","-12.042212","-76.974637","cruce","no"
"275","San Isidro_275","San Isidro","Lima Centro","-11.904418","-76.89521","interseccion principal","si"
"276","Barranco_276","Barranco","Lima Sur","-12.089553","-76.885065","rotonda","si"
"277","San Miguel_277","San Miguel","Lima Oeste","-12.033365","-77.179885","interseccion principal","no"
"278","Comas_278","Comas","Lima Norte","-12.104361","-77.11713","rotonda","si"
"279","Ate_279","Ate","Lima Este","-12.172166","-76.867182","cruce","si"
"280","San Borja_280","San Borja","Lima Centro","-12.030709","-76.852451","cruce","no"
"281","Ate_281","Ate","Lima Este","-12.222176","-77.18024","cruce","si"
"282","Villa El Salvador_282","Villa El Salvador","Lima Sur","-12.046731","-77.10751","interseccion principal","si"
"283","Chorrillos_283","Chorrillos","Lima Sur","-12.023904","-77.145669","interseccion principal","si"
"284","Villa El Salvador_284","Villa El Salvador","Lima Sur","-12.117583","-76.881809","rotonda","no"
"285","Miraflores_285","Miraflores","Lima Sur","-11.980563","-76.955112","rotonda","si"
"286","Callao_286","Callao","Lima Oeste","-11.963091","-76.907317","rotonda","si"
"287","Ate_287","Ate","Lima Este","-12.092131","-77.174991","rotonda","no"
"288","Chorrillos_288","Chorrillos","Lima Sur","-12.17691","-77.098699","rotonda","si"
"289","Los Olivos_289","Los Olivos","Lima Norte","-11.879599","-76.900985","rotonda","si"
"290","La Molina_290","La Molina","Lima Este","-12.166177","-76.964291","interseccion principal","si"
"291","Comas_291","Comas","Lima Norte","-11.981412","-77.020959","cruce","no"
"292","Callao_292","Callao","Lima Oeste","-12.248055","-77.011296","rotonda","no"
"293","La Molina_293","La Molina","Lima Este","-12.192637","-77.155937","rotonda","si"
"294","San Juan de Lurigancho_294","San Juan de Lurigancho","Lima Este","-11.974164","-76.909547","cruce","no"
"295","Callao_295","Callao","Lima Oeste","-12.166242","-77.149593","interseccion principal","no"
"296","Rimac_296","Rimac","Lima Centro","-12.154302","-76.90135","interseccion principal","no"
"297","San Juan de Lurigancho_297","San Juan de Lurigancho","Lima Este","-11.868268","-77.173882","rotonda","si"
"298","Chorrillos_298","Chorrillos","Lima Sur","-12.128025","-76.911026","cruce","si"
"299","Villa El Salvador_299","Villa El Salvador","Lima Sur","-11.87966","-77.06799","rotonda","no"
"300","San Borja_300","San Borja","Lima Centro","-12.241304","-77.05912","cruce","si"
"301","Villa El Salvador_301","Villa El Salvador","Lima Sur","-11.947487","-76.958161","rotonda","si"
"302","San Juan de Lurigancho_302","San Juan de Lurigancho","Lima Este","-12.130989","-77.070125","interseccion principal","si"
"303","Callao_303","Callao","Lima Oeste","-12.199288","-76.858858","interseccion principal","si"
"304","San Juan de Lurigancho_304","San Juan de Lurigancho","Lima Este","-11.898811","-77.120633","interseccion principal","no"
"305","Chorrillos_305","Chorrillos","Lima Sur","-12.069437","-77.17022","rotonda","si"
"306","Chorrillos_306","Chorrillos","Lima Sur","-12.079274","-76.98746","cruce","si"
"307","San Isidro_307","San Isidro","Lima Centro","-12.203251","-77.040581","rotonda","si"
"308","Ate_308","Ate","Lima Este","-12.153382","-76.902136","cruce","si"
"309","San Miguel_309","San Miguel","Lima Oeste","-11.983514","-76.890929","interseccion principal","si"
"310","Ate_310","Ate","Lima Este","-12.025554","-77.116597","cruce","si"
"311","Barranco_311","Barranco","Lima Sur","-12.224224","-77.175012","rotonda","si"
"312","Los Olivos_312","Los Olivos","Lima Norte","-12.152924","-77.030661","cruce","no"
"313","San Juan de Lurigancho_313","San Juan de Lurigancho","Lima Este","-12.037789","-77.137423","interseccion principal","no"
"314","Miraflores_314","Miraflores","Lima Sur","-12.036202","-76.955499","rotonda","si"
"315","Los Olivos_315","Los Olivos","Lima Norte","-12.012205","-76.918116","interseccion principal","no"
