"origen","destino","tipo_via","distancia_km","tiempo_min","nivel_trafico","trafico","capacidad","velocidad_max","prioridad_via","bidireccional"
"San Borja_874","San Isidro_21","calle","5","13","3","trafico alto","150","40","media","si"
"Comas_962","Los Olivos_1336","calle","4","19","3","trafico alto","40","30","baja","si"
"Miraflores_1449","Surco_984","autopista","11","29","2","trafico moderado","500","80","baja","no"
"San Miguel_182","San Isidro_1075","avenida","6","12","2","trafico moderado","500","50","media","no"
"San Isidro_275","San Borja_274","calle","3","15","2","trafico moderado","250","30","media","no"
"Rimac_1215","Comas_221","avenida","10","35","1","trafico libre","100","60","baja","si"
"San Isidro_1111","San Borja_94","autopista","9","20","1","trafico libre","100","100","media","si"
"Villa El Salvador_555","Surco_1057","avenida","6","17","2","trafico moderado","150","60","alta","si"
"Callao_303","San Miguel_541","avenida","10","34","3","trafico alto","40","50","media","si"
"Los Olivos_954","Comas_811","autopista","15","39","1","trafico libre","500","100","media","si"
"Miraflores_1110","Barranco_1033","avenida","8","37","2","trafico moderado","150","50","baja","no"
"La Molina_494","Surco_50","avenida","3","14","1","trafico libre","250","60","baja","no"
"La Molina_807","Surco_1464","avenida","5","17","2","trafico moderado","60","50","alta","si"
"Los Olivos_856","Callao_48","autopista","10","48","1","trafico libre","150","100","alta","si"
"Comas_595","Los Olivos_442","avenida","10","45","2","trafico moderado","150","60","baja","no"
"La Molina_180","Ate_749","avenida","7","30","2","trafico moderado","250","60","media","si"
"Comas_132","Rimac_365","calle","1","2","2","trafico moderado","100","40","baja","no"
"Ate_743","La Molina_168","calle","3","13","2","trafico moderado","60","30","media","si"
"San Isidro_506","San Borja_274","calle","4","18","3","trafico alto","150","30","media","si"
"Miraflores_1207","Surco_437","autopista","9","39","2","trafico moderado","100","80","alta","no"
"La Molina_420","Ate_1410","calle","1","4","4","trafico extremo","40","30","media","no"
"Barranco_1051","Surco_1425","avenida","3","9","1","trafico libre","150","60","alta","si"
"Barranco_248","Miraflores_227","calle","2","10","2","trafico moderado","500","30","alta","no"
"San Juan de Lurigancho_885","Rimac_87","autopista","9","36","2","trafico moderado","40","100","alta","si"
"San Isidro_66","Miraflores_959","autopista","15","71","1","trafico libre","100","100","alta","si"
"Comas_388","Los Olivos_188","avenida","9","21","1","trafico libre","250","60","baja","si"
"La Molina_186","Surco_913","autopista","12","54","1","trafico libre","100","100","alta","si"
"Barranco_708","Chorrillos_1255","avenida","9","42","3","trafico alto","250","50","media","no"
"San Juan de Lurigancho_608","Ate_1222","avenida","5","11","1","trafico libre","40","60","baja","no"
"Surco_1063","Barranco_865","autopista","8","34","1","trafico libre","40","80","alta","si"
"San Borja_480","Surco_793","avenida","7","20","2","trafico moderado","500","60","media","si"
"Barranco_29","Chorrillos_1220","autopista","8","36","1","trafico libre","150","80","alta","si"
"Surco_1105","San Borja_498","calle","3","9","2","trafico moderado","40","40","media","no"
"San Miguel_603","Callao_778","calle","1","2","4","trafico extremo","100","30","media","no"
"San Miguel_1405","Callao_800","autopista","8","20","1","trafico libre","500","80","baja","no"
"San Borja_1386","La Molina_1447","autopista","9","40","1","trafico libre","40","100","baja","si"
"Rimac_1135","San Isidro_514","calle","1","3","4","trafico extremo","100","40","alta","no"
"San Borja_413","La Molina_1074","autopista","11","27","1","trafico libre","500","80","media","no"
"San Juan de Lurigancho_102","Rimac_715","avenida","10","26","2","trafico moderado","500","60","alta","si"
"Ate_1257","La Molina_35","calle","4","10","2","trafico moderado","60","30","alta","si"
"Callao_800","Los Olivos_483","calle","1","2","2","trafico moderado","40","30","media","si"
"San Juan de Lurigancho_382","Ate_976","calle","2","9","4","trafico extremo","500","30","media","si"
"Los Olivos_522","Callao_1003","avenida","10","22","1","trafico libre","60","50","media","si"
"San Juan de Lurigancho_1335","Ate_287","avenida","4","11","2","trafico moderado","150","60","media","no"
"Ate_1032","La Molina_1253","calle","5","10","3","trafico alto","60","30","alta","si"
"Chorrillos_1022","Villa El Salvador_762","calle","4","19","3","trafico alto","150","30","alta","si"
"San Juan de Lurigancho_643","Ate_54","avenida","4","8","2","trafico moderado","250","50","media","si"
"Comas_405","Rimac_1293","calle","1","3","2","trafico moderado","250","30","alta","no"
"Los Olivos_522","Callao_562","autopista","9","35","1","trafico libre","150","100","media","no"
"San Miguel_15","San Isidro_1174","avenida","3","9","2","trafico moderado","60","60","alta","no"
"San Juan de Lurigancho_1455","Rimac_813","autopista","10","46","2","trafico moderado","40","80","media","no"
"Comas_935","Rimac_443","avenida","5","23","2","trafico moderado","150","50","media","si"
"San Borja_1060","La Molina_750","autopista","12","42","2","trafico moderado","40","100","alta","si"
"Miraflores_966","Surco_655","autopista","9","19","1","trafico libre","40","80","alta","si"
"Los Olivos_519","Comas_677","autopista","11","45","1","trafico libre","40","100","media","no"
"Miraflores_1114","Barranco_1356","calle","5","13","4","trafico extremo","150","30","media","si"
"Rimac_362","Comas_9","avenida","8","33","2","trafico moderado","250","50","media","si"
"Miraflores_33","Surco_851","avenida","10","44","1","trafico libre","60","60","alta","si"
"Villa El Salvador_1072","Surco_1171","calle","5","14","4","trafico extremo","100","30","media","no"
"Comas_1400","Los Olivos_1175","autopista","8","32","1","trafico libre","150","100","media","si"
"Rimac_486","Comas_935","autopista","15","51","2","trafico moderado","250","100","alta","si"
"Villa El Salvador_1339","Chorrillos_363","autopista","13","39","1","trafico libre","500","80","baja","si"
"Miraflores_1326","Barranco_1461","avenida","5","10","2","trafico moderado","150","60","baja","no"
"Callao_235","Los Olivos_1261","autopista","13","35","1","trafico libre","100","80","media","si"
"San Isidro_699","Miraflores_1438","avenida","7","34","3","trafico alto","150","50","media","no"
"San Miguel_15","San Isidro_734","avenida","5","10","1","trafico libre","500","50","alta","si"
"Callao_222","Los Olivos_1490","autopista","13","36","1","trafico libre","500","100","media","si"
"Ate_1423","San Juan de Lurigancho_667","autopista","15","56","2","trafico moderado","500","80","baja","no"
"San Isidro_616","San Borja_1103","avenida","10","37","3","trafico alto","40","60","baja","si"
"Villa El Salvador_675","Surco_359","calle","3","10","3","trafico alto","60","30","baja","si"
"San Miguel_960","Callao_1395","calle","2","6","4","trafico extremo","150","40","alta","si"
"Comas_904","Los Olivos_477","avenida","8","16","2","trafico moderado","100","50","baja","si"
"Callao_916","Los Olivos_1175","avenida","4","17","1","trafico libre","500","50","media","si"
"Los Olivos_481","Comas_804","autopista","10","48","2","trafico moderado","250","100","alta","si"
"Rimac_859","San Isidro_1413","autopista","14","57","1","trafico libre","60","80","media","no"
"La Molina_824","Surco_992","avenida","8","16","3","trafico alto","60","50","media","si"
"Barranco_1068","Miraflores_520","autopista","14","50","1","trafico libre","60","100","media","no"
"Miraflores_1125","Surco_1171","autopista","11","34","1","trafico libre","250","100","media","si"
"La Molina_1454","Surco_793","autopista","10","36","2","trafico moderado","60","80","baja","si"
"Surco_1435","Barranco_1320","avenida","7","33","1","trafico libre","250","50","media","no"
"Chorrillos_23","Barranco_928","autopista","14","47","1","trafico libre","250","80","baja","no"
"Callao_162","San Miguel_508","calle","2","9","4","trafico extremo","40","40","baja","no"
"Villa El Salvador_299","Surco_422","autopista","13","32","1","trafico libre","250","100","baja","si"
"Rimac_1403","Comas_1190","avenida","4","16","3","trafico alto","100","50","media","no"
"Barranco_13","Chorrillos_361","autopista","12","43","1","trafico libre","500","100","media","si"
"Ate_1147","San Juan de Lurigancho_72","autopista","11","49","1","trafico libre","40","80","baja","no"
"Miraflores_466","Surco_1152","autopista","10","22","1","trafico libre","500","100","baja","no"
"Los Olivos_698","Comas_855","autopista","11","41","1","trafico libre","40","100","media","si"
"Surco_1187","San Borja_1116","calle","2","8","3","trafico alto","60","30","alta","si"
"San Miguel_489","San Isidro_1143","autopista","14","38","1","trafico libre","60","100","alta","no"
"Surco_1411","Barranco_534","avenida","7","29","1","trafico libre","250","60","alta","si"
"Surco_403","La Molina_1098","avenida","10","30","2","trafico moderado","500","60","media","si"
"Chorrillos_986","Barranco_1409","autopista","14","31","2","trafico moderado","60","80","baja","no"
"Callao_562","San Miguel_325","autopista","15","66","1","trafico libre","40","80","baja","no"
"Chorrillos_517","Barranco_980","calle","2","10","2","trafico moderado","100","40","baja","no"
"Surco_1498","Barranco_980","autopista","10","43","2","trafico moderado","500","100","media","no"
"San Miguel_756","San Isidro_66","avenida","7","23","2","trafico moderado","500","50","media","si"
"Barranco_445","Chorrillos_1274","avenida","9","30","3","trafico alto","250","50","alta","no"
"Los Olivos_213","Callao_565","autopista","14","53","2","trafico moderado","150","100","media","no"
"La Molina_1069","Ate_287","avenida","4","16","2","trafico moderado","100","60","alta","si"
"Villa El Salvador_369","Surco_984","avenida","3","13","3","trafico alto","250","60","media","si"
"Barranco_375","Chorrillos_283","avenida","8","27","2","trafico moderado","500","50","media","no"
"San Borja_488","Surco_1123","avenida","7","23","1","trafico libre","500","50","alta","si"
"Surco_17","La Molina_223","autopista","10","44","1","trafico libre","100","100","alta","no"
"Los Olivos_939","Comas_76","avenida","5","22","1","trafico libre","100","50","alta","si"
"San Borja_101","San Isidro_56","calle","4","17","4","trafico extremo","100","30","baja","si"
"San Isidro_1219","Miraflores_573","calle","3","12","2","trafico moderado","100","30","alta","si"
"Surco_16","La Molina_434","calle","2","8","3","trafico alto","500","40","baja","si"
"Rimac_950","Comas_595","calle","2","4","2","trafico moderado","250","30","baja","si"
"Surco_458","Barranco_428","avenida","4","18","3","trafico alto","40","60","baja","no"
"La Molina_152","Ate_241","autopista","15","30","1","trafico libre","150","100","alta","no"
"Los Olivos_416","Comas_1277","autopista","9","40","2","trafico moderado","150","100","baja","no"
"Miraflores_739","Surco_237","avenida","7","24","3","trafico alto","40","50","alta","no"
"Ate_54","La Molina_1485","avenida","7","15","3","trafico alto","150","50","media","si"
"San Miguel_1001","Callao_1039","calle","4","14","3","trafico alto","100","30","baja","si"
"Comas_45","Los Olivos_738","avenida","9","22","3","trafico alto","40","60","alta","si"
"Miraflores_1449","San Isidro_1124","avenida","6","17","1","trafico libre","500","60","media","si"
"Chorrillos_352","Barranco_1068","calle","5","16","2","trafico moderado","250","30","alta","no"
"Villa El Salvador_52","Surco_925","calle","4","8","2","trafico moderado","40","40","media","no"
"San Miguel_719","Callao_1083","autopista","8","36","2","trafico moderado","150","80","media","si"
"La Molina_22","Ate_622","autopista","12","26","1","trafico libre","250","100","media","si"
"La Molina_923","Ate_1264","avenida","9","18","1","trafico libre","40","60","baja","no"
"Chorrillos_23","Barranco_148","autopista","9","30","1","trafico libre","150","80","alta","no"
"San Isidro_1075","Rimac_120","calle","3","15","3","trafico alto","250","30","baja","no"
"San Juan de Lurigancho_972","Rimac_1442","avenida","4","12","3","trafico alto","150","60","baja","si"
"Comas_1313","Los Olivos_1109","autopista","9","19","2","trafico moderado","500","100","media","no"
"San Juan de Lurigancho_615","Ate_1147","autopista","14","64","1","trafico libre","250","80","baja","si"
"Miraflores_1247","San Isidro_38","autopista","15","45","2","trafico moderado","250","80","baja","si"
"Los Olivos_519","Callao_204","autopista","10","26","1","trafico libre","250","80","baja","si"
"Surco_1187","Barranco_156","avenida","4","11","2","trafico moderado","60","50","alta","si"
"Villa El Salvador_1221","Chorrillos_1408","autopista","9","41","1","trafico libre","60","80","baja","si"
"Miraflores_1195","Barranco_311","avenida","6","28","1","trafico libre","100","60","media","no"
"Surco_403","La Molina_896","calle","1","3","4","trafico extremo","40","40","alta","si"
"Barranco_624","Miraflores_157","autopista","14","47","2","trafico moderado","100","80","alta","si"
"Barranco_1272","Surco_423","calle","3","11","3","trafico alto","100","30","baja","si"
"Miraflores_1478","San Isidro_1174","calle","4","11","3","trafico alto","40","30","alta","si"
"Rimac_1319","Comas_920","autopista","9","22","1","trafico libre","150","100","media","si"
"Los Olivos_751","Callao_1424","autopista","10","31","1","trafico libre","250","80","baja","si"
"San Miguel_417","Callao_985","avenida","7","19","1","trafico libre","250","60","baja","si"
"Surco_96","La Molina_781","calle","3","11","2","trafico moderado","500","40","baja","no"
"Barranco_1472","Miraflores_14","avenida","9","44","2","trafico moderado","500","60","baja","si"
"Comas_132","Rimac_1360","avenida","5","13","3","trafico alto","40","60","alta","si"
"San Isidro_73","San Borja_1495","calle","4","9","3","trafico alto","500","30","alta","no"
"Callao_1424","Los Olivos_416","avenida","5","15","3","trafico alto","100","50","media","si"
"San Borja_872","Surco_975","avenida","4","17","2","trafico moderado","250","60","baja","no"
"Miraflores_327","Barranco_151","calle","5","13","4","trafico extremo","100","30","alta","no"
"Rimac_203","San Isidro_118","calle","5","13","2","trafico moderado","100","30","baja","si"
"La Molina_588","San Borja_3","avenida","8","32","2","trafico moderado","250","50","media","no"
"San Borja_1297","La Molina_665","autopista","14","45","1","trafico libre","250","100","alta","si"
"Rimac_1145","Comas_125","avenida","3","7","1","trafico libre","40","60","media","si"
"Comas_45","Los Olivos_172","autopista","11","37","1","trafico libre","500","80","media","no"
"Comas_291","Los Olivos_342","autopista","10","33","1","trafico libre","150","100","alta","no"
"San Juan de Lurigancho_641","Rimac_556","avenida","9","42","2","trafico moderado","60","50","media","si"
"Callao_550","Los Olivos_731","avenida","7","26","2","trafico moderado","60","50","alta","si"
"Rimac_715","San Isidro_1217","avenida","9","38","3","trafico alto","100","50","alta","si"
"Los Olivos_1336","Callao_1446","calle","1","3","2","trafico moderado","500","30","alta","si"
"Ate_270","La Molina_133","autopista","12","33","1","trafico libre","60","100","media","si"
"San Isidro_1143","Miraflores_1207","calle","1","3","4","trafico extremo","100","40","baja","si"
"La Molina_1205","Surco_727","avenida","6","30","3","trafico alto","60","50","baja","si"
"La Molina_1483","Ate_1133","avenida","4","17","1","trafico libre","40","60","baja","no"
"Ate_998","San Juan de Lurigancho_245","avenida","3","13","1","trafico libre","60","50","alta","si"
"San Borja_1327","Surco_1254","avenida","7","26","3","trafico alto","60","60","media","no"
"Callao_858","Los Olivos_788","autopista","11","45","2","trafico moderado","100","80","media","no"
"Comas_564","Los Olivos_694","autopista","15","70","2","trafico moderado","500","80","baja","no"
"Callao_801","Los Olivos_939","calle","5","16","2","trafico moderado","250","30","alta","si"
"La Molina_1077","Ate_857","calle","5","22","2","trafico moderado","60","30","media","si"
"Barranco_1333","Surco_403","autopista","9","23","2","trafico moderado","250","100","alta","no"
"San Miguel_1458","San Isidro_1279","autopista","14","38","1","trafico libre","250","100","baja","si"
"San Isidro_1176","Miraflores_1110","avenida","10","35","2","trafico moderado","250","50","media","si"
"La Molina_736","Ate_619","avenida","9","24","3","trafico alto","250","60","media","si"
"Los Olivos_894","Callao_475","autopista","13","47","1","trafico libre","500","100","alta","no"
"San Isidro_553","San Borja_113","avenida","8","24","1","trafico libre","500","60","alta","no"
"Comas_691","Los Olivos_894","autopista","11","47","2","trafico moderado","150","100","baja","si"
"Chorrillos_305","Villa El Salvador_261","autopista","13","27","2","trafico moderado","150","100","media","si"
"Villa El Salvador_1113","Chorrillos_81","calle","3","9","4","trafico extremo","40","40","baja","si"
"Rimac_1135","Comas_709","avenida","6","18","1","trafico libre","40","60","media","si"
"Miraflores_419","Barranco_217","avenida","6","21","3","trafico alto","150","50","media","si"
"Rimac_511","Comas_1153","autopista","12","59","2","trafico moderado","100","100","alta","si"
"Chorrillos_782","Barranco_1126","autopista","9","25","2","trafico moderado","40","80","baja","si"
"San Miguel_489","Callao_160","autopista","8","34","1","trafico libre","40","80","alta","si"
"Barranco_1320","Chorrillos_1026","autopista","13","59","2","trafico moderado","100","100","alta","no"
"La Molina_180","San Borja_144","avenida","8","31","1","trafico libre","250","60","baja","si"
"Callao_725","Los Olivos_599","autopista","14","36","2","trafico moderado","150","80","media","si"
"Ate_236","San Juan de Lurigancho_451","avenida","6","14","1","trafico libre","100","60","media","no"
"San Miguel_683","Callao_779","avenida","3","9","2","trafico moderado","40","50","media","no"
"Miraflores_1207","San Isidro_537","autopista","14","48","1","trafico libre","150","80","alta","no"
"Miraflores_953","Surco_572","calle","3","6","4","trafico extremo","100","40","baja","no"
"Chorrillos_1236","Barranco_597","avenida","5","20","2","trafico moderado","150","60","media","si"
"Ate_1034","San Juan de Lurigancho_328","calle","5","10","3","trafico alto","500","40","alta","no"
"Barranco_445","Chorrillos_659","avenida","10","34","1","trafico libre","500","50","media","no"
"San Juan de Lurigancho_723","Rimac_374","calle","2","8","2","trafico moderado","100","40","alta","no"
"Barranco_1204","Surco_472","calle","5","21","3","trafico alto","500","30","media","no"
"Rimac_1212","San Isidro_969","calle","3","10","3","trafico alto","40","40","baja","si"
"San Juan de Lurigancho_1156","Rimac_755","autopista","14","41","2","trafico moderado","500","100","media","no"
"La Molina_470","Ate_1281","calle","3","6","2","trafico moderado","100","30","baja","no"
"Comas_1137","Los Olivos_947","calle","2","4","2","trafico moderado","500","30","alta","si"
"Chorrillos_225","Barranco_617","autopista","9","21","1","trafico libre","60","100","media","si"
"Rimac_443","Comas_1384","avenida","4","11","2","trafico moderado","40","50","alta","si"
"San Isidro_1163","Miraflores_528","calle","2","9","3","trafico alto","40","30","media","si"
"San Isidro_1283","Miraflores_201","avenida","5","19","1","trafico libre","40","50","media","no"
"Miraflores_958","Surco_625","avenida","9","26","2","trafico moderado","250","50","baja","si"
"Miraflores_1478","San Isidro_774","avenida","7","28","2","trafico moderado","250","50","alta","no"
"Surco_917","Barranco_1172","avenida","7","34","1","trafico libre","150","60","baja","no"
"San Miguel_603","San Isidro_28","autopista","10","40","2","trafico moderado","100","100","media","si"
"San Juan de Lurigancho_1406","Rimac_1099","calle","3","11","4","trafico extremo","150","40","baja","si"
"Miraflores_687","Surco_344","calle","3","6","4","trafico extremo","100","40","baja","no"
